total_self_citing_rate,Reference_count_of_each_paper_published,two_years_self_citing_rate,three_years_self_citing_rate,average_pub_rate,incoming_citations,outgoing_references,total_other_cited_rate,two_years_other_cited_rate,three_years_other_cited_rate
0.260316875,0.01614486,0.245681818,0.225495882,0.071458808,0.050598873,0.027271246,0.888678531,0.86,0.873811865
0.048268239,0.014018692,0.060113636,0.056721958,0.029691166,0.096812025,0.10438768,0.830367285,0.927714286,0.930186824
0.020081061,0,0,0.042918455,0.000978294,0.005107422,0.025928189,0.901931087,1,0.964437889
0.098931466,0.05415109,0.149431818,0.232571627,0.173288192,0.282837395,0.118163177,0.714880727,0.771714286,0.604392003
0.02358143,0.009158879,0.2525,0.193365039,0.004683938,0.01981555,0.009294114,0.937145021,0.780285714,0.882989184
0.028739867,0,0,0.013223524,0.010383334,0.017997419,0.008256607,0.978417266,1,0.98820059
0.671333825,0.012554517,0.322954545,0.354483239,0.034540972,0.094410981,0.096776121,0.199924271,0.372857143,0.465912815
0.116801769,0.002242991,0.083181818,0.07249739,0.012644431,0.06421751,0.004128303,0.976524044,0.961714286,0.958702065
0.237840825,0.09546729,0.863636364,0.741561304,0.008650553,0.032094876,0.058245743,0.749337372,0.515285714,0.624057686
0.239314665,0.099945483,0.234545455,0.187101264,0.023051016,0.101197746,0.031673864,0.801590307,0.648571429,0.690101606
0.154200442,0.039260125,0.195795455,0.175385686,0.095448704,0.134330067,0.08562427,0.656948126,0.833142857,0.823828253
0.040899042,0.001246106,0.031590909,0.034682751,0.025889182,0.031730556,0.019200684,0.933358576,0.935,0.941986234
0.092851879,0.00338785,0.047386364,0.022271198,0.005331696,0.01688017,0.006472202,0.976524044,0.898,0.976892822
0.007921887,0.051503115,0.021704545,0.016355411,0.021288459,0.197444207,0.112025041,0.924649754,0.951,0.961324156
0.110722181,0.068216511,0.20125,0.157290338,0.195409215,0.317978682,0.127131372,0.782658084,0.761857143,0.771058669
0.173176124,0.051066978,0.142386364,0.149054634,0.172195744,0.270495614,0.256613433,0.613782658,0.704857143,0.686168469
0.02376566,0.136292835,0.0425,0.037930634,0.072034939,0.227394798,0.26000842,0.603937902,0.701571429,0.739593576
0.089167281,0.046573209,0.115909091,0.085720914,0.105111677,0.174800838,0.105571851,0.759560772,0.850857143,0.855129466
0.009211496,0.055895639,0.026704545,0.017979353,0.051325836,0.207107367,0.468582797,0.797425218,0.827285714,0.854473943
0.661569639,0.059338006,0.790568182,0.639136991,0.004769178,0.028663326,0.033513947,0.673608482,0.480571429,0.594067519
0.015291083,0.046082555,0.012159091,0.011599582,0.064730342,0.531588297,0.674033787,0.933737221,0.971714286,0.971156998
0.018975682,0.030599688,0.01375,0.011483587,0.052234978,0.335809554,0.494096798,0.946611132,0.976857143,0.980662078
0.148857775,0.031066978,0.143181818,0.138383018,0.160318813,0.148018098,0.182809147,0.662249148,0.665714286,0.70272042
0.77302874,0.006137072,0.476590909,0.575455284,0.022207238,0.059616666,0.018212064,0.807269973,0.617142857,0.599803343
0.219602063,0.056378505,0.162386364,0.141862893,0.168930702,0.437947593,0.16679975,0.895494131,0.853142857,0.868076041
0.005526898,0.061409657,0.019090909,0.011135599,0.022040583,0.224969466,0.180387843,0.922377887,0.957714286,0.962471321
0.176308032,0.028691589,0.269659091,0.220972045,0.015929874,0.049894521,0.053236101,0.746686861,0.847285714,0.819567355
0,0,0,0,0,0.069324932,0.060604579,1,1,1
0.029661017,0.003154206,0.071022727,0.041410509,0.02258225,0.03827791,0.021342242,0.94131011,0.920571429,0.949524746
0.160648489,0.012235202,0.088636364,0.154970421,0.027342016,0.046941792,0.022674434,0.93108671,0.846,0.882661422
0.579403095,0.13876947,0.863295455,0.744345204,0.012412824,0.015978044,0.021886798,0.651268459,0.549857143,0.526548673
0.058032424,0.141160436,0.248068182,0.170977845,0.06000309,0.078717454,0.1267199,0.584248391,0.595857143,0.649295313
0.020633751,0.005989097,0.227272727,0.099408421,0.008911374,0.024329651,0.007297863,0.961378266,0.916,0.924287119
0.196204864,0.031152648,0.317159091,0.27943394,0.015907036,0.026147782,0.019477715,0.875425975,0.863571429,0.878236644
0.243736183,0.005194704,0.096477273,0.144298805,0.034446282,0.103515517,0.030185502,0.85119273,0.918142857,0.878400524
0.010316875,0.164937695,0.027159091,0.018675328,0.12792801,0.125704352,0.519235992,0.567588035,0.738285714,0.750245821
0.293294031,0.027601246,0.181931818,0.185245331,0.168836949,0.273736329,0.054243733,0.957970466,0.894714286,0.932481154
0.344694178,0.031152648,0.973977273,0.77334416,0.004956684,0.006675734,0.01237133,0.932222643,0.899142857,0.899868895
0.118091378,0.006487539,0.454545455,0.28998956,0.002406602,0,0.006950216,0.980310488,0.941714286,0.969026549
0.921149595,0.051923676,1,1,0.007030276,0.019416533,0,0.516092389,0.798571429,0.757620452
0.016396463,0.086082555,0.011022727,0.007655724,0.004235499,0.078342725,0.06386105,0.865581219,0.928428571,0.933792199
0.042372881,0.010249221,0.12625,0.132351235,0.007483928,0.020939738,0.026911377,0.772056039,0.917,0.831202884
0.172623434,0.010825545,0.141590909,0.175965665,0.04194896,0.069286765,0.071479399,0.89284362,0.863142857,0.856440511
